J-Name,RA,DEC,MeSet,
J1007+5802,151.85367,58.03429,VLASS2.1.sb38536469.eb38590168.59084.87988079861,
J1413+3947,213.25162,39.79588,VLASS2.1.sb38611939.eb38656872.59108.99831386574,
J1246+2245,191.69463,22.76153,VLASS2.1.sb38483282.eb38504007.59045.97679461805,
J1642+1848,250.53604,18.81644,VLASS2.2.sb40596977.eb40729013.59502.66564846065,
J1416+6205,214.01341,62.08898,VLASS2.1.sb38537053.eb38580096.59080.031941134264,
J1558+1304,239.6418333,13.07116389,VLASS2.2.sb40878034.eb40965466.59533.56291280093,
J1635+2547,248.9356,25.79693,VLASS2.1.sb38618574.eb38632962.59098.03251238426,
J0912+5650,138.03231,56.84333,VLASS2.1.sb38667356.eb38705720.59131.46099141204,
J1002+1916,150.65282,19.26906,VLASS2.2.sb40492002.eb40974915.59538.211577905095,
J1401+4355,210.3250792,43.92756667,VLASS2.2.sb40448756.eb40965402.59532.47423184028,VLASS2.2.sb41026955.eb41063444.59572.434632222226
J1612+2029,243.2486958,20.487675,VLASS2.1.sb38483282.eb38504007.59045.97679461805,
J1548+1935,237.1790208,19.59152222,VLASS2.2.sb40592521.eb40626426.59497.65618173611,
J1627+4120,246.84575,41.34994,VLASS2.2.sb40448756.eb40965402.59532.47423184028,
J0740+3756,115.09448,37.93437,VLASS2.2.sb40525912.eb40962423.59529.26309113426,
J1253+4633,193.33505,46.56391,VLASS2.2.sb40888787.eb40985494.59545.33040479167,
J1214+1631,183.56074,16.53188,VLASS2.2.sb40492002.eb40974915.59538.211577905095,
J0930+1859,142.67162,18.9997,VLASS2.2.sb40490414.eb40974925.59539.17081951389,
J1643+1235,250.82438,12.58614,VLASS2.2.sb40484153.eb40484738.59489.052202673614,
J1553+1401,238.2712333,14.02271667,VLASS2.2.sb40878034.eb40965466.59533.56291280093,
J0903+6228,135.96504,62.47173,VLASS2.1.sb38532242.eb38565232.59071.48960461805,
J1313+3601,198.3229208,36.02360833,VLASS2.1.sb38609051.eb38659592.59110.93759270833,VLASS2.1.sb38611351.eb38659848.59112.96043939815
J1411+0042,212.848125,0.7101388889,VLASS2.2.sb40566705.eb40773292.59506.62136980324,
J0945+1726,146.2814083,17.43557778,VLASS2.2.sb40490414.eb40974925.59539.17081951389,VLASS2.2.sb40492002.eb40974915.59538.211577905095
J1117+1504,169.32438,15.06705,VLASS2.1.sb38490392.eb38577577.59079.6066271412,
J1344+2852,206.06003,28.87654,VLASS2.1.sb38607339.eb38658209.59109.972473263886,
J1119+5204,169.8713,52.06869722,VLASS2.2.sb40562686.eb40976780.59540.13729255787,VLASS2.1.sb38520431.eb38554942.59063.924480127316
J1350+1740,207.6428625,17.67251389,VLASS2.2.sb40592521.eb40626426.59497.65618173611,
J1238+5249,189.70772,52.82611,VLASS2.1.sb38529434.eb38589592.59082.86913579861,
J1049+6406,162.38719,64.11345,VLASS2.1.sb38539165.eb38696919.59128.74249967592,
J1137+5241,174.2881375,52.69180833,VLASS2.1.sb38520431.eb38554942.59063.924480127316,
J0744+1825,116.107,18.42495,VLASS2.2.sb40492002.eb40974915.59538.211577905095,
J0804+1241,121.06768,12.69976,VLASS2.1.sb38490392.eb38577577.59079.6066271412,
J1207+1127,181.94193,11.46407,VLASS2.2.sb40482436.eb40487145.59491.659991134264,
J0829+1852,127.4688417,18.88066111,VLASS2.2.sb40455377.eb40967190.59535.24555774305,
J1010+1851,152.60755,18.86542,VLASS2.2.sb40492002.eb40974915.59538.211577905095,
J1512+1456,228.1357125,14.94336944,VLASS2.2.sb40877453.eb40987515.59548.467770902775,
J1305+1901,196.44681,19.02798,VLASS2.2.sb40455377.eb40967190.59535.24555774305,
J0954+0043,148.59883,0.73097,VLASS2.1.sb38501480.eb38632936.59097.386918425924,
